iter	Passed	Remaining
840	106288	20094
841	106416	19968
842	106533	19840
843	106686	19719
844	106815	19593
845	106955	19469
846	107069	19340
847	107172	19210
848	107307	19085
849	107424	18957
850	107540	18829
851	107650	18699
852	107785	18574
853	107939	18453
854	108070	18327
855	108182	18198
856	108293	18070
857	108404	17941
858	108515	17812
859	108625	17683
860	108752	17556
861	108865	17428
862	109003	17304
863	109162	17182
864	109270	17053
865	109369	16923
866	109496	16797
867	109617	16669
868	109734	16542
869	109855	16415
870	109977	16288
871	110090	16160
872	110224	16035
873	110353	15909
874	110470	15781
875	110596	15655
876	110710	15527
877	110825	15399
878	110942	15271
879	111058	15144
880	111173	15016
881	111307	14891
882	111435	14765
883	111552	14638
884	111677	14511
885	111795	14384
886	111905	14256
887	112017	14128
888	112136	14001
889	112263	13875
890	112388	13748
891	112538	13625
892	112652	13498
893	112786	13372
894	112899	13245
895	113016	13117
896	113140	12991
897	113257	12864
898	113374	12737
899	113518	12613
900	113639	12486
901	113749	12358
902	113872	12232
903	113992	12105
904	114108	11978
905	114224	11851
906	114349	11724
907	114506	11601
908	114781	11490
909	114929	11366
910	115042	11239
911	115180	11113
912	115327	10989
913	115466	10864
914	115618	10740
915	115800	10619
916	115918	10492
917	116028	10364
918	116236	10244
919	116370	10119
920	116507	9993
921	116681	9871
922	116874	9750
923	116989	9622
924	117082	9493
925	117204	9366
926	117316	9238
927	117423	9110
928	117542	8983
929	117666	8856
930	117781	8729
931	117899	8602
932	118040	8476
933	118152	8349
934	118275	8222
935	118385	8094
936	118505	7967
937	118623	7840
938	118758	7714
939	118891	7588
940	119021	7462
941	119144	7335
942	119274	7209
943	119392	7082
944	119501	6955
945	119619	6828
946	119743	6701
947	119849	6574
948	119958	6446
949	120081	6320
950	120226	6194
951	120339	6067
952	120459	5940
953	120573	5813
954	120692	5687
955	120811	5560
956	120923	5433
957	121046	5306
958	121175	5180
959	121318	5054
960	121445	4928
961	121564	4801
962	121676	4675
963	121781	4547
964	121891	4420
965	121997	4293
966	122108	4167
967	122244	4041
968	122408	3916
969	122519	3789
970	122633	3662
971	122756	3536
972	122874	3409
973	122989	3283
974	123094	3156
975	123222	3030
976	123331	2903
977	123566	2779
978	123934	2658
979	124198	2534
980	124479	2410
981	124656	2284
982	124822	2158
983	124946	2031
984	125056	1904
985	125176	1777
986	125291	1650
987	125404	1523
988	125537	1396
989	125651	1269
990	125766	1142
991	125911	1015
992	126026	888
993	126136	761
994	126256	634
995	126366	507
996	126491	380
997	126607	253
998	126725	126
999	126807	0
